id,author,updated_time,device,spent,stars,contents,net_support,heat,score
18596509,196768,2020-03-18,,,4,就是产能低了点。,0,0.0,8
18596475,习惯已读不回复,2020-03-18,OPPO A5,,5,超棒的地牢冒险题材游戏，我给五星。即使不氪金购买角色，也可以玩得很开心，每个角色都有自己的特殊技能和准确的定位，没有全能的人物。最终还得看玩家的操作技术以适应使用的人物。很多的武器增强了这个游戏的可玩性，还可以吸引收集控（我算是一个）。大部分角色皮肤也可以通过游戏中的一般货币获得，几乎每个玩家都能找到并获得自己喜欢的角色和皮肤。像素风格带给人不一样的体验。并且有局域网联机功能。对于局域网联机，我觉得这才是最好的安排，这样的游戏如果不面对面玩其实没有多大的乐趣。游戏的本质不是让人沉迷，而是让人感到快来和轻松，所以觉得枯燥的那些人，多找点事情做啦~总而言之，这是一款非常优秀的游戏，以后希望它能随着时间而愈发精致。,0,0.0,10
18596266,阿仙儿啊,2020-03-18,红米Note 5A,,5,(*￣3￣)╭,0,0.0,10
18596036,LySHEN,2020-03-18,华为荣耀9X,,4,远古传送门点不进去,0,0.0,8
18595605,小彩。,2020-03-18,,14027.0,5,手机里唯一的游戏，几乎每一次更新都不会改变游戏的本质看到好多人都想要元气骑士开联机。我虽然也很想玩联机，但对元气骑士而言，我还是不建议的。如果开了联机，单人模式必然是没有人玩了，这款游戏也就会变成多人游戏，对于多人游戏反而我感觉比较大众化了。我想玩家的心态也会从自己的元气小屋变化到多人游戏的乐趣，在这一方面弊一定大于利单机与联机这是一个质的变化！单机进入联机不单单是多人游戏这么简单，它会面临更大的挑战。联机游戏在于社交，而单机游戏我觉得更在于自己的世界。这一点很重要联机将会改变元气骑士的本质所以我不推荐联机,1,0.006085192697768763,10
18595483,不可思议的黑星,2020-03-18,华为Mate 20,7.0,5,突然想起来忘了评分ヾ~五星好评耐玩 还不要网不像现在很多游戏看上去花里胡梢玩几天就不好玩了游戏就应该把核心集中在玩法上,0,0.0,10
10108009,滑稽の猫,2020-03-18,小米5X,7300.0,5,凉屋是个很好的游戏厂商，大爱元气！,-2,0.004056795131845842,10
18594826,℡,2020-03-18,OPPO A83,,5,可以，挺好玩的,0,0.0,10
18594708,元气满满,2020-03-18,魅族M1822,,5,不错的游戏，刷刷刷超级喜欢,0,0.0,10
18594452,碳酸味汽水,2020-03-18,Vivo Y55,6738.0,5,我喜欢联机一起打才更有意思，由于疫情的原因很难进行面对面联机，希望官方能出个服务器，这样不用一个网络也可以联机了,1,0.002028397565922921,10
18594103,王都密探,2020-03-18,华为P20,,5,好(▽),0,0.0,10
18593990,迷离,2020-03-18,OPPO R9sk,,5,我就想知道守护神殿有没有尽头，八十几关后，每一次我手机都卡，要死，搞得我都不想打了，整整打了一小时半,0,0.0,10
18593219,FBI!!,2020-03-18,三星Galaxy S8,,4,我给四星是因为玩法有少许单调，一开始很有意思，不过到了后面就会开始感觉无聊 。武器种类很多，但是模式有一些少。希望今后可以推出更多模式。凉屋加油＾０＾~,1,0.002028397565922921,8
